OBJECTID,OFT_1,STREET_O_NAME_1,STREET_F_NAME_1,STREET_T_NAME_1,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION_YR,SEALCOAT_YR,SEALCOAT_COUNT,OVERLAY_YR,PCI,PCI_BRANCH_AVG,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION_DATE,REFNO_ALL
5396,4.18126E+11,18 1/2 AVE NE,POLK ST NE,TAYLOR ST NE,RES,2645,14,CONCRETE7,S.GRAN.MAT.,1974,,,,,,79,461,,,2013-05-24T00:00:00.000Z,1836
5397,4.36132E+11,36 1/2 AVE NE,VALLEY ST,MONROE ST NE,RES,2650,15,ASPHALT7m,S.GRAN.MAT.,1974,,2001,4,,,75,361,,,2012-11-13T00:00:00.000Z,4081
5398,2615050351,2ND ST NE,EDGE PL NE,35TH AVE NE,RES,2650,1,ASPHALT7m,S.GRAN.MAT.,1974,,2001,4,,,75,669,,,2012-11-13T00:00:00.000Z,233
5399,2603610371,2ND ST NE,36TH AVE NE,37TH AVE NE,RES,2650,1,ASPHALT7m,S.GRAN.MAT.,1974,,2001,4,,,75,660,,,2012-11-13T00:00:00.000Z,235
5400,2701020112,2ND ST S,10TH AVE S,11TH AVE S,MSA,289,3,ASPHALT9,CRUSH.CONC,1990,,2011,2,,70,,411,"Pavement Exception: W OF 10TH TO W OF CHICAGO HAS NEWER PVMT, BUILT 2006.",,2013-09-05T00:00:00.000Z,243
5401,2813190023,2ND ST SE,CENTRAL AVE SE,2ND AVE SE,MSA,227,1,ASPH/CONC,CRUSH.ROCK,1967,,2009,3,,75,,413,Pavement Exception: THE INTERSECTION AT 6TH AVE SE WAS PAVED IN 2001.,,2013-10-01T00:00:00.000Z,249
5402,2800330053,2ND ST SE,3RD AVE SE,5TH AVE SE,MSA,227,1,ASPH/CONC,CRUSH.ROCK,1967,,2009,3,,75,,893,Pavement Exception: THE INTERSECTION AT 6TH AVE SE WAS PAVED IN 2001.,,2013-10-01T00:00:00.000Z,251
5403,2800530063,2ND ST SE,5TH AVE SE,6TH AVE SE,MSA,227,1,ASPH/CONC,CRUSH.ROCK,1967,,2009,3,,75,,412,Pavement Exception: THE INTERSECTION AT 6TH AVE SE WAS PAVED IN 2001.,,2013-10-01T00:00:00.000Z,252
5404,3100662329,3RD AVE NE,6TH ST NE,MONROE ST NE,MSA,352,1,ASPHALT9,S.GRAN.MAT.,1986,,2010,2,,84,,542,,,2006-07-13T00:00:00.000Z,279
5405,3700520042,3RD ST S,5TH AVE S,4TH AVE S,MSA,340,1B,ASPH/CONC,UNKNOWN,1963,,,,2011,100,,411,,,2011-11-01T00:00:00.000Z,389
